,Image,Accuracy,F1,Jaccard,Recall,Precision
0,DSB\images\6034456567632f4b48dc3dfbb98534b5953c151990f4235df6c912c0a9c08397.jpg,0.9968109130859375,0.9604391444255158,0.9238892935178441,0.9462886982469227,0.9750192159877018
1,DSB\images\54cb3328e778d87f76062b0550e3bc190f46384acd8efbe58c297265d1906e84.jpg,0.987701416015625,0.903611576177948,0.8241710296684118,0.8874794456189805,0.920341047503045
2,DSB\images\e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2.jpg,0.9633026123046875,0.9146042680112204,0.8426459042135567,0.8499868004223865,0.9898547382983629
3,DSB\images\f35ab34528e3e2d2589d24cbffc0e10024dfc474a68585d0b5feb7b05aa0067f.jpg,0.998046875,0.9602484472049689,0.9235364396654719,0.9680651221039449,0.9525569932224276
4,DSB\images\fa73f24532b3667718ede7ac5c2e24ad7d3cae17b0a42ed17bbb81b15c28f4ae.jpg,0.9986572265625,0.9171374764595104,0.8469565217391304,0.9018518518518519,0.9329501915708812
5,DSB\images\2cfa61bef6542dd359717e9131ce6f076c415a3bd7f48cb093b0d7f3b2ca785d.jpg,0.9618682861328125,0.8918977375957087,0.8048875702685822,0.8082320658565268,0.9948851573055395
6,DSB\images\0b0d577159f0d6c266f360f7b8dfde46e16fa665138bf577ec3c6f9c70c0cd1e.jpg,0.9953765869140625,0.63003663003663,0.45989304812834225,0.4607142857142857,0.9961389961389961
7,DSB\images\4d14a3629b6af6de86d850be236b833a7bfcbf6d8665fd73c6dc339e06c14607.jpg,0.8942108154296875,0.8498603200727635,0.7389192242515534,0.8371160409556314,0.8629986365835423
8,DSB\images\6d327ab4f0e3604fa6e9b8041c7e6db86ab809890d886c691f6e59c9168b7fbe.jpg,0.91143798828125,0.8090915071376882,0.6793901563276805,0.7013972055888223,0.9558560659050284
9,DSB\images\7c0157913223365720209ac83ff2e0b1b2b460173acd615c67646014093a2b97.jpg,0.8412628173828125,0.7101501769245772,0.5505681081781656,0.5510680619216466,0.9983548766157462
10,DSB\images\8f6597cd978c060378177df76e554d0578b97eab471e237dbe0adc0dd0d93d63.jpg,0.998016357421875,0.9207317073170731,0.8531073446327684,0.9129383313180169,0.9286592865928659
11,DSB\images\1b6044e4858a9b7cee9b0028d8e54fbc8fb72e6c4424ab5b9f3859bfc72b33c5.jpg,0.992919921875,0.9596100278551531,0.9223560910307899,0.9712775330396476,0.9482195079993119
12,DSB\images\aa83f5b4fca02ae43a6b9456ab42707b0beabc6e7c5c4e66c0d2572fb80f3615.jpg,0.99884033203125,0.9698173153296268,0.9414032382420972,0.9721337579617835,0.9675118858954042
13,DSB\images\97126a9791f0c1176e4563ad679a301dac27c59011f579e808bbd6e9f4cd1034.jpg,0.8622894287109375,0.6805875066359935,0.5158261802575107,0.5158261802575107,1.0
14,DSB\images\54fe2d3416951cbc48f8718624c86a7ae58b6022a7fa75591b13f625cf53658b.jpg,0.9960479736328125,0.9614640678470467,0.9257879656160458,0.9458430913348946,0.9776096822995461
15,DSB\images\9a71a416f98971aa14f63ef91242654cc9191a1414ce8bbd38066fe94559aa4f.jpg,0.9983062744140625,0.9636661211129296,0.9298799747315224,0.9533678756476683,0.9741892786234282
16,DSB\images\ad9d305cbf193d4250743ead466bdaefe910835d7e352c544e22320e8336f5c1.jpg,0.9580535888671875,0.8341478129713424,0.7154833367832747,0.7369936034115139,0.9608061153578874
17,DSB\images\e414b54f2036bcab61b9c0a966f65adf4b169097c13c740e03d6292ac076258c.jpg,0.8731536865234375,0.7407776980884967,0.5882819077806943,0.6017833620427602,0.9632633200875841
18,DSB\images\a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd.jpg,0.8136444091796875,0.615762151958471,0.4448384017455339,0.444899072558647,0.9996935335580754
19,DSB\images\b1eb0123fe2d8c825694b193efb7b923d95effac9558ee4eaf3116374c2c94fe.jpg,0.9205474853515625,0.6979172709868308,0.5360007128854036,0.64043867120954,0.7667304015296367
20,DSB\images\f9ac03b0344ce8c48bc058448541f9211a1e5f4c94fdaf633dd534328d8610ab.jpg,0.9971160888671875,0.9699666295884315,0.9416846652267818,0.984516129032258,0.955840901973066
21,DSB\images\ed4b8e0d756836be7acb2e2b7799c473b52424e3092a71d3c6d23558e500dc4c.jpg,0.9863128662109375,0.9415825464018234,0.8896135860201821,0.9638666666666666,0.9203055378739656
22,DSB\images\28d33efef218392e79e385906deb88055d94b65ad217de78c07e85476f80f45a.jpg,0.866485595703125,0.734236423277852,0.5800739069923694,0.5819731330348115,0.9944055944055944
23,DSB\images\0532c64c2fd0c4d3188cc751cdfd566b1cfba3d269358717295bab1504c7c275.jpg,0.8822479248046875,0.7194532300868869,0.561832841244606,0.5623437144805637,0.9983856321259207
24,DSB\images\e5f8ad0f0a43af8ca57e31e16800108abdfb44a7e962a71d246f72d2dbde42bf.jpg,0.998779296875,0.967266775777414,0.936608557844691,0.9907795473595976,0.9448441247002398
25,DSB\images\2227fd9b01d67c2bcdb407d3205214e6dfeff9fd0725828e3b3651959942ff4a.jpg,0.977325439453125,0.8455301455301455,0.7323969025751846,0.8229461756373938,0.8693886276186404
26,DSB\images\c00ae67f72816daee468474026e30705003b2d3501f123579a4f0a6366b66aa1.jpg,0.988677978515625,0.9333333333333335,0.875,0.9360245089205262,0.9306575882458341
27,DSB\images\3852c7e45bd885b9537e276861ab50b99bb42f0f8e717d2f88174c62862ca3ff.jpg,0.98565673828125,0.8748002131060203,0.7774621212121212,0.8320243222700785,0.9222128615557428
28,DSB\images\3ebd2ab34ba86e515feb79ffdeb7fc303a074a98ba39949b905dbde3ff4b7ec0.jpg,0.973663330078125,0.9419870933046518,0.8903361077577991,0.9117111255692908,0.9743429286608261
29,DSB\images\538b7673d507014d83af238876e03617396b70fe27f525f8205a4a96900fbb8e.jpg,0.920562744140625,0.6123026511766458,0.4412364495009123,0.8545001039284972,0.4770801903214576
30,DSB\images\93c5638e7e6433b5c9cc87c152bcbe28873d2f9d6a392cca0642520807542a77.jpg,0.9999237060546875,0.9746192893401016,0.9504950495049505,0.9795918367346939,0.9696969696969697
31,DSB\images\58c593bcb98386e7fd42a1d34e291db93477624b164e83ab2afa3caa90d1d921.jpg,0.9941558837890625,0.6948207171314741,0.5323565323565324,0.7266666666666667,0.665648854961832
32,DSB\images\d6a880b1f6056f3086679de5c810e7af87cdf3bbbd0533a83e3681817fce40fc.jpg,0.9356842041015625,0.85023982945461,0.7394932014833128,0.7444161015367387,0.9911365142478462
33,DSB\images\a02ec007ae8feddb758078b1dfb8010c26886fd3c8babdc308ead8b4a63acbdb.jpg,0.989532470703125,0.9373287045496072,0.8820495185694636,0.9131363474546101,0.9628378378378378
34,DSB\images\358e47eaa1e9222252793fe0fb8c77028d4e0d4360b95a07c9fe6df6a2066556.jpg,0.9170989990234375,0.8074291993052848,0.6770492777744754,0.7073655446528382,0.9404673437370985
35,DSB\images\693bc64581275f04fc456da74f031d583733360a1f6032fa38b3fbf592ff4352.jpg,0.87579345703125,0.718378079158594,0.5605226217471115,0.5634123840017365,0.9909325188508161
36,DSB\images\01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf.jpg,0.9611663818359375,0.6145691352415569,0.44359422824661127,0.44632644082710077,0.986387943607195
37,DSB\images\1ee4a111f0e0bb9b001121b94ff98ca736fad03797b25285fe33a47046b3e4b0.jpg,0.9964752197265625,0.9354568315171836,0.878740157480315,0.891848694725626,0.9835487661574618
38,DSB\images\0bf4b144167694b6846d584cf52c458f34f28fcae75328a2a096c8214e01c0d0.jpg,0.9128265380859375,0.8154417703117428,0.688393149340024,0.6925482879719052,0.9913596732385516
39,DSB\images\2ad489c11ed8b77a9d8a2339ac64ffc38e79281c03a2507db4688fd3186c0fe5.jpg,0.9988861083984375,0.9731518940787053,0.9477077363896849,0.9706529713866471,0.9756637168141593
40,DSB\images\da79a2b105f055ce75404a04bf53bbb51d518d9381af7b4ac714c137f101d920.jpg,0.9877166748046875,0.8734475711366138,0.7753279374825565,0.8461772768809016,0.9025341130604289
41,DSB\images\c53326fe49fc26b7fe602b9d8c0c2da2cb157690b44c2b9351a93f8d9bd8043d.jpg,0.97698974609375,0.896214728148658,0.8119466267614416,0.8763122476446837,0.9170422535211268
42,DSB\images\e81c758e1ca177b0942ecad62cf8d321ffc315376135bcbed3df932a6e5b40c0.jpg,0.86004638671875,0.724597645928417,0.5681325925228364,0.5805147943228289,0.9638150011981788
43,DSB\images\5b0bde771bc67c505d1b59405cbcad0a2766ec3ee4e35852e959552c1b454233.jpg,0.99737548828125,0.8856382978723405,0.7947494033412887,0.9765395894428153,0.8102189781021898
44,DSB\images\319b6cb8b0d24b38db5e3c6fbb13b062e2766d9af5ff9bccb8f439ac0d870e52.jpg,0.9889984130859375,0.9089531506503347,0.8331018518518518,0.9506075013206551,0.8707960319380595
45,DSB\images\7978812d0e2e034ee1f9c141f019705582fcaa290e4a01c6c75a62753285cb23.jpg,0.8722076416015625,0.754463631299657,0.6057339233593824,0.6058765362339313,0.9996115599751398
46,DSB\images\4ee5850b63549794eb3ecd3d5f5673164ac16936e36ecc3700da886e3b616149.jpg,0.9865264892578125,0.96460779991182,0.931635181170641,0.9701685076191244,0.9591104734576757
47,DSB\images\670ebd9d674be236b9bf0b28650ad3f68e1891b06e16a9021fd069ca7ef32b78.jpg,0.8954010009765625,0.7474486976384335,0.5967409847638097,0.5967760913048594,0.9999014292755052
48,DSB\images\4327d27591871e9c8d317071a390d1b3dcedad05a9746175b005c41ea0d797b2.jpg,0.893310546875,0.7541490857946553,0.6053285165951682,0.6063210267428054,0.9973030782107319
49,DSB\images\6c67b78e8164801059375ed9a607f61e67a7ae347e92e36a7f20514224541d56.jpg,0.921295166015625,0.8400818503131394,0.7242595958515984,0.829689509461694,0.8507378335949765
50,DSB\images\6fb82031f7fc5f4fa6e0bc2ef3421db19036b5c2cdd2725009ab465d66d61d72.jpg,0.9966278076171875,0.9072597566093158,0.8302611367127496,0.8889802631578947,0.9263067694944301
51,DSB\images\33618678c167c5e07be02c49d0c43bcd90493ba5d83110a631409a4d3ccc1e51.jpg,0.8830413818359375,0.6727016525043766,0.5068202290567495,0.5070159629248198,0.9992388684510973
52,DSB\images\0bf33d3db4282d918ec3da7112d0bf0427d4eafe74b3ee0bb419770eefe8d7d6.jpg,0.9129638671875,0.45707214924804873,0.29623689080814314,0.29682284584002966,0.9933802234174597
53,DSB\images\e1bcb583985325d0ef5f3ef52957d0371c96d4af767b13e48102bca9d5351a9b.jpg,0.9976654052734375,0.8704487722269263,0.7706146926536732,0.8877374784110535,0.8538205980066446
54,DSB\images\514ccfc78cb55988a238d3ac9dc83460aa88382c95d56bcc0559962d9fe481ef.jpg,0.875579833984375,0.7296419098143235,0.5743592420525134,0.5744192116940746,0.9998182644252612
55,DSB\images\4e23ecf65040f86420e0201134e538951acdeda84fbb274311f995682044dd64.jpg,0.93597412109375,0.5018993352326686,0.3350237717908082,0.3357687420584498,0.993421052631579
56,DSB\images\9d429167633b4d9d7f41544a461975cf8e688a3affa6a8916799202874809f2a.jpg,0.9973907470703125,0.9424823410696267,0.8912213740458015,0.9485443466486121,0.9364973262032086
57,DSB\images\f67e72b7fe0b1e3648ea745ffd395c80705c89b0c0c48227991fe6f5815b2a18.jpg,0.99615478515625,0.9447610697062692,0.8953053593685085,0.9599109131403119,0.9300820025895554
58,DSB\images\b76ff33ae9da28f9cd8bdce465d45f1eca399db3ffa83847535708e0d511fe38.jpg,0.9705657958984375,0.9028260541030677,0.8228650137741047,0.8284182305630027,0.9919194155412885
59,DSB\images\4ae4f936a9ade472764dad80f60f7168e4be067aa66ce9d06d60ebe34951dca4.jpg,0.896759033203125,0.3696664803428359,0.22674285714285713,0.22888786340562992,0.9603097773475314
60,DSB\images\4185b9369fc8bdcc7e7c68f2129b9a7442237cd0f836a4b6d13ef64bf0ef572a.jpg,0.9875335693359375,0.9373802406683529,0.8821407963069822,0.974968112244898,0.9025830258302583
61,DSB\images\40946065f7e4b6038599fbfd419f2a67e7635b6f89db3ed6c0d67c8801521af1.jpg,0.948699951171875,0.7724688684353006,0.6292865806593891,0.6494821895982702,0.9529136750709635
62,DSB\images\ce9e1a58b58940039ae841466198b72ea21cc90584039a9294b47f5aef17ddfa.jpg,0.9907379150390625,0.9247738257528813,0.8600737667127709,0.9269565217391305,0.9226013847675568
63,DSB\images\eb96fc6cbf6880bf05c4309857ae33844a4bc2152e228eff31024e5265cf9fc3.jpg,0.99737548828125,0.9461490294301816,0.8978015448603683,0.9710796915167095,0.9224664224664225
